# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1      25     0.47577     0.39677     0.00000   -1.532558005   -2.652719023   -1.120161018
     1      25     0.48164     0.38660     0.00000   -1.550881253   -2.685891973   -1.135010720
     1      25     0.48752     0.37642     0.00000   -1.571315339   -2.718392545   -1.147077207
     1      25     0.49339     0.36625     0.00000   -1.594236321   -2.750223266   -1.155986945
     1      25     0.49927     0.35608     0.00000   -1.619813535   -2.783961750   -1.164148214
     1      25     0.50514     0.34590     0.00000   -1.647715793   -2.819176221   -1.171460429
     1      25     0.51101     0.33573     0.00000   -1.676436520   -2.869264777   -1.192828257
     1      25     0.51689     0.32555     0.00000   -1.701564110   -2.903366431   -1.201802321
     1      25     0.52276     0.31538     0.00000   -1.712998315   -2.893859141   -1.180860826
     1      25     0.52863     0.30521     0.00000   -1.700016613   -2.840139911   -1.140123298
     1      25     0.53451     0.29503     0.00000   -1.712998315   -2.893859141   -1.180860826
     1      25     0.54038     0.28486     0.00000   -1.701564110   -2.903366431   -1.201802321
     1      25     0.54626     0.27469     0.00000   -1.676436520   -2.869264777   -1.192828257
     1      25     0.55213     0.26451     0.00000   -1.647715793   -2.819176221   -1.171460429
     1      25     0.55800     0.25434     0.00000   -1.619813535   -2.783961750   -1.164148214
     1      25     0.56388     0.24417     0.00000   -1.594236321   -2.750223266   -1.155986945
     1      25     0.56975     0.23399     0.00000   -1.571315339   -2.718392545   -1.147077207
     1      25     0.57562     0.22382     0.00000   -1.550881253   -2.685891973   -1.135010720
     1      25     0.58150     0.21365     0.00000   -1.532558005   -2.652719023   -1.120161018
     1      25     0.58737     0.20347     0.00000   -1.515856491   -2.621086114   -1.105229624
     1      25     0.59325     0.19330     0.00000   -1.500268280   -2.590496735   -1.090228455
     1      25     0.59912     0.18312     0.00000   -1.485284445   -2.560327317   -1.075042872
     1      25     0.60499     0.17295     0.00000   -1.470429818   -2.530247237   -1.059817419
     1      25     0.61087     0.16278     0.00000   -1.455290018   -2.499871314   -1.044581296
     1      25     0.61674     0.15260     0.00000   -1.439491275   -2.468809656   -1.029318381
